gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac	is_ppi_hub
SIPA1L2	down	1	8.35485336664001e-09	8.35485336664001e-09	5	4	TRUE
RGMB	down	1	2.29542032571395e-08	2.29542032571395e-08	5	5	TRUE
WNT5A	down	1	4.97215018286846e-08	4.97215018286846e-08	5	5	TRUE
ALPK2	down	1	5.72527475934316e-08	5.72527475934316e-08	5	3	TRUE
SERPINB2	down	1	1.97982241315326e-07	1.97982241315326e-07	5	4	TRUE
GREM2	down	1	6.63694685659608e-07	6.63694685659608e-07	5	3	TRUE
SEMA6D	down	1	1.36435272549376e-06	1.36435272549376e-06	5	4	TRUE
KLF12	down	1	6.97455991766098e-06	6.97455991766098e-06	5	4	TRUE
LDB2	down	1	1.05571816238633e-05	1.05571816238633e-05	5	3	TRUE
IRS1	down	1	1.17378887082117e-05	1.17378887082117e-05	5	3	TRUE
EPG5	down	1	1.35978641929537e-05	1.35978641929537e-05	5	4	TRUE
DLX2	down	1	1.78641016190051e-05	1.78641016190051e-05	5	4	TRUE
BROX	down	1	3.07378300206382e-05	3.07378300206382e-05	5	4	TRUE
FRMD6	down	1	3.12782155867679e-05	3.12782155867679e-05	5	3	FALSE
LOXL2	down	1	7.32306649459116e-05	7.32306649459116e-05	5	3	FALSE
KLF7	down	1	0.000117691265453275	0.000117691265453275	5	3	FALSE
FMN1	down	1	0.000169973729052129	0.000169973729052129	5	2	FALSE
PIEZO2	down	1	0.00022404207042979	0.00022404207042979	5	3	FALSE
PLCB4	down	1	0.000279644113532153	0.000279644113532153	5	3	FALSE
MAMLD1	down	1	0.000423453165094073	0.000423453165094073	5	3	TRUE
HIVEP1	down	1	0.000690737477933134	0.000690737477933134	5	3	FALSE
ADCY9	down	1	0.000765908259744446	0.000765908259744446	5	3	FALSE
JRK	down	1	0.00162168101606649	0.00162168101606649	5	3	FALSE
TENM2	down	0.8	0.002536031087558	0.002536031087558	5	2	FALSE
SAMD5	down	0.8	0.0293573871657712	0.0293573871657712	5	2	FALSE
RBPJ	down	0.8	0.0330077450153057	0.0330077450153057	5	1	FALSE
P4HA3	up	1	1.46170451304162e-08	1.46170451304162e-08	5	5	FALSE
DUSP1	up	1	2.62782741064504e-06	2.62782741064504e-06	5	4	FALSE
RGCC	up	1	5.99412189601691e-06	5.99412189601691e-06	5	4	TRUE
PLXDC2	up	1	7.11168960753529e-06	7.11168960753529e-06	5	3	FALSE
IGFBP5	up	1	1.36813096668695e-05	1.36813096668695e-05	5	2	TRUE
EPSTI1	up	1	2.96334301740525e-05	2.96334301740525e-05	5	3	TRUE
EDNRB	up	1	6.69423742656287e-05	6.69423742656287e-05	5	3	TRUE
PDGFD	up	1	6.91857905848782e-05	6.91857905848782e-05	5	3	TRUE
ISG20	up	1	0.00014810250825665	0.00014810250825665	5	2	FALSE
GCNT1	up	1	0.000231210582504672	0.000231210582504672	5	3	TRUE
TLR4	up	1	0.000282809237626724	0.000282809237626724	5	3	TRUE
OPN3	up	1	0.000325042717088351	0.000325042717088351	5	3	TRUE
EPS8	up	1	0.000328209115957936	0.000328209115957936	5	3	TRUE
SRGN	up	1	0.000383431184637565	0.000383431184637565	5	3	TRUE
TMEM100	up	1	0.000468141541447947	0.000468141541447947	5	3	FALSE
SMOC1	up	1	0.000585026261700537	0.000585026261700537	5	3	TRUE
PMP22	up	1	0.000592029274920382	0.000592029274920382	5	3	FALSE
RAB13	up	1	0.000662590485820358	0.000662590485820358	5	3	FALSE
EFEMP1	up	0.8	0.00118637439017186	0.00118637439017186	5	2	TRUE
PNMAL1	up	1	0.00124185535153943	0.00124185535153943	5	3	TRUE
SSPN	up	1	0.0020334636863872	0.0020334636863872	5	3	TRUE
CSGALNACT1	up	0.8	0.00418683896055015	0.00418683896055015	5	2	FALSE
F10	up	0.8	0.0221120912312681	0.0221120912312681	5	2	TRUE
MFSD12	up	0.8	0.0269929038611177	0.0269929038611177	5	2	FALSE
PLAG1	up	0.8	0.030792133367774	0.030792133367774	5	2	FALSE
CHST15	up	0.8	0.042405793890468	0.042405793890468	5	2	TRUE
