gene	kWithin
EDNRB	7.723
PDGFD	7.312
TLR4	6.632
IRS1	6.579
GCNT1	6.544
OPN3	6.526
RGCC	6.009
EPSTI1	5.661
SIPA1L2	5.508
SEMA6D	5.409
F10	5.4
RGMB	5.358
SSPN	5.278
SRGN	5.274
SMOC1	5.193
WNT5A	4.909
GREM2	4.902
IGFBP5	4.886
EFEMP1	4.78
PNMAL1	4.706
ALPK2	4.615
EPG5	4.505
DLX2	4.473
BROX	4.433
CHST15	4.401
MAMLD1	4.351
KLF12	4.082
LDB2	3.896
EPS8	3.767
SERPINB2	3.691
FRMD6	3.631
PLCB4	3.613
HIVEP1	3.573
TMEM100	3.551
PLAG1	3.276
PIEZO2	3.244
KLF7	3.196
CSGALNACT1	3.124
PLXDC2	2.637
ADCY9	2.533
FMN1	2.528
JRK	2.461
RAB13	2.237
LOXL2	2.19
RBPJ	2.161
P4HA3	1.939
SAMD5	1.669
DUSP1	1.299
TENM2	0.959
PMP22	0.933
ISG20	0.905
MFSD12	0.785
