gene	nsnp	IVW_b	IVW_p	egger_int_p	wmedian_b	wmedian_p	lasso_b	lasso_p	lasso_nvalid	mode_b	mode_p	steiger_r2_exp	steiger_r2_out	steiger_dir	direction_signature
GREM2	3	-0.013	0.287	5.8e-11	-0.017	0.241	0.126	0.000529	1	-0.0516	0.000689	0.0112	7.43e-05	exposure->outcome (correct)	down
SRGN	2	-0.0217	0.00203									0.0346	1.71e-05	exposure->outcome (correct)	up
WNT16	1	-0.565	1.74e-79									0.0019	0.000595	exposure->outcome (correct)	up
KREMEN1	2	-0.0849	7.6e-48									0.051	0.000368	exposure->outcome (correct)	down
MGP	1	-0.0637	2.23e-11									0.0188	7.65e-05	exposure->outcome (correct)	up
SMAD3	2	0.0527	3.43e-07									0.0163	5.85e-05	exposure->outcome (correct)	down
HSPG2	3	-0.0284	8.37e-09	0.619	-0.0311	6.06e-08	-0.0368	2.93e-12	1	-0.0364	9.31e-10	0.0691	9.12e-05	exposure->outcome (correct)	down
TLR4	7	0.00663	0.124	0.942	0.00664	0.176	0.00663	0.124	1	0.00678	0.198	0.0943	8.93e-06	exposure->outcome (correct)	up
LOXL2	3	-0.000386	0.94	0.144	0.00102	0.846	-0.000386	0.945	1	0.00171	0.753	0.0653	4.21e-06	exposure->outcome (correct)	down
PDGFD	3	0.00859	0.32	0.792	0.00899	0.319	0.00859	0.32	1	0.00887	0.378	0.0228	2.03e-06	exposure->outcome (correct)	up
IRS1	3	-0.00403	0.587	0.0102	0.00109	0.889	0.00148	0.847	1	0.00175	0.825	0.0307	1.21e-05	exposure->outcome (correct)	down
