drug	pert_id	cell	dose	score	mode
-666	BRD-A46747628	A549	10.0	0.1062	mimic
dexamethasone	BRD-A69951442	A549	10.0	0.1	mimic
Fluticasone propionate	BRD-K62310379	HCC515	10.0	0.0938	mimic
IOPANIC ACID	BRD-A42628519	HCC515	10.0	0.0938	mimic
-666	BRD-K62310379	A549	10.0	0.0938	mimic
mitoxantrone	BRD-K21680192	HA1E	10.0	0.0938	mimic
Ro 31-8220 mesylate	BRD-K06543683	A375	10.0	0.0875	mimic
cercosporin	BRD-A78360835	A549	10.0	0.0875	mimic
L-690,330	BRD-K28470988	A549	10.0	0.0875	mimic
halometasone	BRD-K33312228	A549	10.0	0.0875	mimic
tropisetron hcl	BRD-K50866992	A549	10.0	0.0875	mimic
-666	BRD-K60640630	A549	10.0	0.0875	mimic
Camptothecine (S,+)	BRD-K37890730	PC3	10.0	0.0875	mimic
BETAMETHASONE	BRD-A02180903	HCC515	10.0	0.0812	mimic
TRIAMCINOLONE DIACETATE	BRD-A30717181	A549	10.0	0.0812	mimic
-666	BRD-A36630025	PC3	0.35	0.0812	mimic
BX-795	BRD-K47983010	PC3	10.0	0.0812	mimic
halometasone	BRD-K33312228	A549	10.0	0.0812	mimic
-666	BRD-K17674993	A549	10.0	0.0812	mimic
mitoxantrone	BRD-K21680192	BT20	1.11	0.0812	mimic
linifanib	BRD-K99749624	HA1E	10	0.0812	mimic
Halcinonide	BRD-K81709173	HCC515	10.0	0.075	mimic
IOPANIC ACID	BRD-A42628519	HCC515	10.0	0.075	mimic
BUDESONIDE	BRD-A60571864	HCC515	10.0	0.075	mimic
BETAMETHASONE 17,21-DIPROPIONATE	BRD-A66861218	HCC515	10.0	0.075	mimic
QUINACRINE HYDROCHLORIDE	BRD-A45889380	HT29	10.0	0.075	mimic
manumycin A	BRD-A77216878	PC3	10.0	0.075	mimic
desoximetasone	BRD-K30697463	A549	10.0	0.075	mimic
fluticasone	BRD-K62310379	A549	10.0	0.075	mimic
-666	BRD-A34806832	A549	10.0	0.075	mimic
-666	BRD-A42628519	A549	10.0	0.075	mimic
-666	BRD-K49577446	A549	10.0	0.075	mimic
-666	BRD-A22707317	A549	10.0	0.075	mimic
-666	BRD-K60640630	A549	10.0	0.075	mimic
-666	BRD-K00824317	A549	10.0	0.075	mimic
geldanamycin	BRD-A19500257	BT20	3.33	0.075	mimic
dasatinib	BRD-K49328571	HA1E	0.37	0.075	mimic
mitoxantrone	BRD-K21680192	HEPG2	10	0.075	mimic
NVP-TAE684	BRD-K50140147	MCF10A	10	0.075	mimic
CGP-60474	BRD-K79090631	MDAMB231	0.37	0.075	mimic
Flurandrenolide	BRD-K00824317	HCC515	10.0	0.0688	mimic
CLOBETASOL PROPIONATE	BRD-A26095496	HCC515	10.0	0.0688	mimic
TRIAMCINOLONE	BRD-A37780065	A549	10.0	0.0688	mimic
manumycin A	BRD-K78599730	PC3	10.0	0.0688	mimic
-666	BRD-K17140735	A673	11.1	0.0688	mimic
vorinostat	BRD-K81418486	HA1E	11.1	0.0688	mimic
TL_HRAS26	BRD-K01877528	HA1E	10.0	0.0688	mimic
TG101348	BRD-K12502280	HA1E	11.1	0.0688	mimic
-666	BRD-K04853698	LOVO	10.0	0.0688	mimic
dexamethasone	BRD-A69951442	NCIH2073	10.0	0.0688	mimic
