Term	Overlap	P.value	Adjusted.P.value	library
estradiol CTD 00005920	204/4336	1.57522346910842e-45	4.14756339416247e-42	DSigDB
progesterone CTD 00006624	127/1915	9.72895667627409e-40	1.28081714643148e-36	DSigDB
Tetradioxin CTD 00006848	166/3768	6.19429176521807e-31	5.43652340593973e-28	DSigDB
acetohexamide PC3 UP	17/23	2.19987895497254e-25	1.44807032211068e-22	DSigDB
trichostatin A CTD 00000660	150/3584	7.64136497016601e-25	4.02394279328942e-22	DSigDB
Retinoic acid CTD 00006918	165/4258	3.7904973620792e-24	1.66339659239242e-21	DSigDB
suloctidil HL60 UP	30/141	2.02068387945777e-23	7.60065807801758e-21	DSigDB
Decitabine CTD 00000750	93/1800	2.20317506104081e-20	6.69073713735954e-18	DSigDB
MS-275 PC3 UP	44/431	2.49351107842556e-20	6.69073713735954e-18	DSigDB
VALPROIC ACID CTD 00006977	241/8312	2.54110791392311e-20	6.69073713735954e-18	DSigDB
prenylamine HL60 UP	17/38	4.87615832387639e-20	1.16717498788787e-17	DSigDB
terfenadine HL60 UP	18/60	1.94447173763971e-17	4.26649507100447e-15	DSigDB
prochlorperazine MCF7 UP	17/58	2.39155253062885e-16	4.84381370241983e-14	DSigDB
prenylamine PC3 UP	21/111	1.18070660562323e-15	2.22057178043284e-13	DSigDB
8-Bromo-cAMP, Na CTD 00007044	47/652	1.32635454677035e-15	2.32819434776422e-13	DSigDB
cytarabine CTD 00005743	44/594	4.39674927384385e-15	7.23540052376928e-13	DSigDB
tamoxifen CTD 00006827	51/802	1.15081884574617e-14	1.78241530638216e-12	DSigDB
3'-Azido-3'-deoxythymidine CTD 00007047	33/374	1.15838094651428e-13	1.69445390676228e-11	DSigDB
cyclosporin A CTD 00007121	152/4825	2.83171151694192e-13	3.92415601268846e-11	DSigDB
Medroxyprogesterone acetate CTD 00006623	33/389	3.49725849778872e-13	4.60414081233885e-11	DSigDB
azacyclonol PC3 UP	17/90	6.60616549988999e-13	8.10322254488042e-11	DSigDB
TERT-BUTYL HYDROPEROXIDE CTD 00007349	65/1341	6.77063790305238e-13	8.10322254488042e-11	DSigDB
thioridazine PC3 UP	23/196	2.04258805265399e-12	2.33831927940781e-10	DSigDB
raloxifene CTD 00007367	43/686	2.73175430625637e-12	2.99696212015543e-10	DSigDB
suloctidil PC3 UP	13/52	7.97849954694758e-12	8.40295572284519e-10	DSigDB
vanoxerine PC3 UP	15/77	9.56043203349349e-12	9.68177597853399e-10	DSigDB
thioridazine HL60 UP	14/65	1.11778244896524e-11	1.09004488449092e-09	DSigDB
NICKEL SULFATE CTD 00001417	38/576	1.24106342139153e-11	1.16704285304425e-09	DSigDB
propofol MCF7 UP	13/54	1.34663724609814e-11	1.2226537479229e-09	DSigDB
oxygen CTD 00006454	36/524	1.41393226895954e-11	1.24096122139016e-09	DSigDB
dexamethasone CTD 00005779	32/421	1.5121518513826e-11	1.28435349183561e-09	DSigDB
ellipticine PC3 UP	15/81	2.06383741336389e-11	1.69815122168348e-09	DSigDB
sanguinarine HL60 UP	30/384	3.41800197077144e-11	2.72715126940642e-09	DSigDB
mefloquine PC3 UP	16/100	4.4710790533373e-11	3.46245621983444e-09	DSigDB
astemizole PC3 UP	16/102	6.09307929172586e-11	4.58373650717548e-09	DSigDB
1,4-chrysenequinone PC3 UP	17/119	7.07866320302616e-11	5.05216812281657e-09	DSigDB
fluticasone HL60 UP	13/61	7.099514642773e-11	5.05216812281657e-09	DSigDB
azacitidine PC3 UP	17/120	8.10956550631748e-11	5.61907525740366e-09	DSigDB
chlorophyllin CTD 00000324	10/30	8.99139173530882e-11	6.07034216386362e-09	DSigDB
etynodiol HL60 UP	13/63	1.09472112323886e-10	7.20600179371979e-09	DSigDB
