atlas	signature	source_type	spearman_rho_M_vs_AUCell	osteo_rank_transferaudit	osteo_rank_AUCell
GSE303003_human_MRONJ	RRA744_pan_dental	own_meta	0.821	1	1
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	single_source_DE	0.893	2	2
GSE303003_human_MRONJ	DE_DPSC_GSE226347	single_source_DE	-0.679	4	5
GSE303003_human_MRONJ	DE_GSC_GSE226347	single_source_DE	0.786	2	1
GSE303003_human_MRONJ	DE_SHED_GSE266257	single_source_DE	0.929	1	1
GSE303003_human_MRONJ	DE_DFC_GSE49007	single_source_DE	0.929	1	1
GSE303003_human_MRONJ	GO_osteoblast_differentiation	literature_GO	0.893	1	1
GSE303003_human_MRONJ	GO_ossification	literature_GO	0.929	1	1
GSE303003_human_MRONJ	GO_biomineral_tissue_dev	literature_GO	0.821	1	1
GSE303003_human_MRONJ	GO_reg_bone_mineralization	literature_GO	0.643	1	2
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	0.821	3	5
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	0.536	3	4
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	0.857	1	2
GSE303003_human_MRONJ	POSctrl_osteo_markers	positive_control	0.857	1	1
GSE295106_mouse_BRONJ	RRA744_pan_dental	own_meta	0.786	1	1
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	single_source_DE	0.524	1	1
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	single_source_DE	0.31	1	6
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	single_source_DE	0.929	1	2
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	single_source_DE	-0.071	1	1
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	single_source_DE	-0.238	1	1
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	literature_GO	0.738	1	1
GSE295106_mouse_BRONJ	GO_ossification	literature_GO	0.643	1	1
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	literature_GO	0.571	1	1
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	literature_GO	0.595	1	2
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	-0.071	1	2
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	0.238	1	2
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	0.095	1	7
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	positive_control	0.571	1	1
GSE269255_mouse_ORNJ	RRA744_pan_dental	own_meta	0.964	1	1
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	single_source_DE	0.464	1	1
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	single_source_DE	-0.143	1	5
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	single_source_DE	0.857	1	2
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	single_source_DE	0.857	1	1
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	single_source_DE	0.464	1	1
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	literature_GO	0.964	1	1
GSE269255_mouse_ORNJ	GO_ossification	literature_GO	0.893	1	1
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	literature_GO	0.857	1	1
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	literature_GO	0.464	1	1
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	0.857	1	1
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	0.643	1	3
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	0.107	1	4
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	positive_control	0.893	1	1
